Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
2015,Hydrogels with tunable stress relaxation regulate stem cell fate and activity,"Ovijit Chaudhuri, Luo Gu, Darinka D. Klumpers, Max Darnell, Sidi A. Bencherif, James C. Weaver, Nathaniel Huebsch, Hong-Pyo Lee, Evi Lippens, Georg N. Duda, David Mooney","Harvard University, Berlin Institute of Health at Charité - Universitätsmedizin Berlin, Stanford University","US, DE",1940,Engineering Biology
2006,Bone Quality — The Material and Structural Basis of Bone Strength and Fragility,"Ego Seeman, Pierre D. Delmas","Austin Health, Université Claude Bernard Lyon 1, Inserm, University of Melbourne","FR, AU",1937,Engineering Biology
2005,A Critical Review of the Durability of Adhesion to Tooth Tissue: Methods and Results,"Jan De Munck, K. Van Landuyt, Marleen Peumans, André Poitevin, P. Lambrechts, M. Braem, Bart Van Meerbeek","KU Leuven, University of Antwerp",BE,1937,Engineering Biology
1990,An interactive graphics-based model of the lower extremity to study orthopaedic surgical procedures,"Scott L. Delp, J.P. Loan, M.G. Hoy, Felix E. Zajac, E.L. Topp, Joseph M. Rosen","VA Palo Alto Health Care System, Med Center, Rehabilitation Research and Development Service, Stanford University",US,1934,Engineering Biology
2014,Principles of Tissue Engineering,"Robert Lanza, Róbert Langer, J VACANTI",Unknown Institution,Unknown Country,1929,Engineering Biology
2014,"3D Bioprinting of Vascularized, Heterogeneous Cell‐Laden Tissue Constructs","David B. Kolesky, Ryan L. Truby, A. Sydney Gladman, Travis A. Busbee, Kimberly A. Homan, Jennifer A. Lewis",Harvard University,US,1919,Engineering Biology
2007,Adult mesenchymal stem cells for tissue engineering versus regenerative medicine,Arnold I. Caplan,Case Western Reserve University,US,1911,Engineering Biology
2002,Properties of Osteoconductive Biomaterials: Calcium Phosphates,Racquel Z. LeGeros,New York University,US,1908,Engineering Biology
2005,Detecting Stress During Real-World Driving Tasks Using Physiological Sensors,"Jennifer Healey, Rosalind W. Picard","Hewlett-Packard (United States), MIT Lincoln Laboratory",US,1893,Engineering Biology
2005,Electrical stimulation of excitable tissue: design of efficacious and safe protocols,"Daniel R. Merrill, Marom Bikson, John G.R. Jefferys","University of Utah, University of Birmingham, City College of New York","GB, US",1872,Engineering Biology
2003,Shedding light onto live molecular targets,"Ralph Weissleder, Vasilis Ntziachristos","Harvard University, Athinoula A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital",US,1865,Engineering Biology
2004,"Cyclodextrin-based pharmaceutics: past, present and future","Mark E. Davis, Marcus E. Brewster",California Institute of Technology,US,1858,Engineering Biology
2001,Biomedical applications of collagen,"Chi H. Lee, Anuj Singla, Yugyung Lee",University of Missouri–Kansas City,US,1858,Engineering Biology
2006,Artificially engineered magnetic nanoparticles for ultra-sensitive molecular imaging,"Jae‐Hyun Lee, Yong‐Min Huh, Young‐wook Jun, Jung-wook Seo, Jung-tak Jang, Ho‐Taek Song, Sung Jun Kim, Eun-Jin Cho, Ho‐Geun Yoon, Jin‐Suck Suh, Jinwoo Cheon",Yonsei University,KR,1851,Engineering Biology
2009,"The effect of mean pore size on cell attachment, proliferation and migration in collagen–glycosaminoglycan scaffolds for bone tissue engineering","Ciara M. Murphy, Matthew G. Haugh, Fergal J. O’Brien","Royal College of Surgeons in Ireland, Trinity College Dublin",IE,1846,Engineering Biology
2012,Dopamine‐Melanin Colloidal Nanospheres: An Efficient Near‐Infrared Photothermal Therapeutic Agent for In Vivo Cancer Therapy,"Yanlan Liu, Kelong Ai, Jianhua Liu, Mo Deng, Yangyang He, Lehui Lu","Chinese Academy of Sciences, Changchun Institute of Applied Chemistry, Second Affiliated Hospital of Jilin University",CN,1838,Engineering Biology
2011,Hyaluronic Acid Hydrogels for Biomedical Applications,"Jason A. Burdick, Glenn D. Prestwich","University of Pennsylvania, University of Utah",US,1833,Engineering Biology
1966,PRACTICAL STEREOLOGICAL METHODS FOR MORPHOMETRIC CYTOLOGY,"Ewald R. Weibel, G. Kistler, W Scherle",University of Zurich,CH,1822,Engineering Biology
2002,Fused deposition modeling of novel scaffold architectures for tissue engineering applications,"Iwan Zein, Dietmar W. Hutmacher, Kim Cheng Tan, Swee Hin Teoh","National University Hospital, Temasek Polytechnic, National University of Singapore",SG,1815,Engineering Biology
1978,Medical Instrumentation-Application and Design,John G. Webster,Houghton Mifflin Harcourt (United States),US,1813,Engineering Biology
2007,Nanomechanical analysis of cells from cancer patients,"S. E. Cross, Yusheng Jin, Jianyu Rao, James K. Gimzewski","University of California, Los Angeles, California NanoSystems Institute",US,1811,Engineering Biology
2021,Functional Hydrogels as Wound Dressing to Enhance Wound Healing,"Yongping Liang, Jiahui He, Baolin Guo",Xi'an Jiaotong University,CN,1798,Engineering Biology
2006,Functional photoacoustic microscopy for high-resolution and noninvasive in vivo imaging,"Hao F. Zhang, Konstantin Maslov, George Stoica, Lihong V. Wang",Texas A&M University,US,1782,Engineering Biology
2012,Rapid casting of patterned vascular networks for perfusable engineered three-dimensional tissues,"Jordan S. Miller, Kelly R. Stevens, Michael T. Yang, Brendon M. Baker, Duc-Huy T. Nguyen, Daniel M. Cohen, Esteban Toro, Alice A. Chen, Peter A. Galie, Yu Xiang, Ritika Chaturvedi, Sangeeta N. Bhatia, Christopher S. Chen","University of Pennsylvania, Harvard–MIT Division of Health Sciences and Technology, Massachusetts Institute of Technology",US,1781,Engineering Biology
2006,Tissue-engineered autologous bladders for patients needing cystoplasty,"Anthony Atala, Stuart B. Bauer, Shay Söker, James J. Yoo, Alan B. Retik","Wake Forest University, Harvard University, Forest Institute, Boston Children's Hospital",US,1773,Engineering Biology
2005,Response of brain tissue to chronically implanted neural electrodes,"Vadim S. Polikov, Patrick A. Tresco, W.M. Reichert","University of Utah, Duke University",US,1771,Engineering Biology
2004,Electrospinning of nano/micro scale poly(l-lactic acid) aligned fibers and their potential in neural tissue engineering,"Fang Yang, Murugan Ramalingam, S. Wang, Seeram Ramakrishna","Institute of Bioengineering and Nanotechnology, National University of Singapore",SG,1768,Engineering Biology
2004,Photo-thermal tumor ablation in mice using near infrared-absorbing nanoparticles,"D. Patrick O’Neal, L. R. Hirsch, Naomi J. Halas, J. Donald Payne, Jennifer L. West","Nanospectra Biosciences (United States), Rice University",US,1764,Engineering Biology
2012,Designing Cell-Compatible Hydrogels for Biomedical Applications,Dror Seliktar,Technion – Israel Institute of Technology,IL,1753,Engineering Biology
1999,Functional Arteries Grown in Vitro,"Laura E. Niklason, Jinming Gao, William M. Abbott, Karen K. Hirschi, Stuart L. Houser, Robert P. Marini, Róbert Langer","Case Western Reserve University, Massachusetts Institute of Technology, Massachusetts General Hospital, Children's Nutrition Research Center at Baylor College of Medicine, Duke University",US,1751,Engineering Biology
2010,"Superparamagnetic iron oxide nanoparticles (SPIONs): Development, surface modification and applications in chemotherapy","Morteza Mahmoudi, Shilpa Sant, Ben Wang, Sophie Laurent, Tapas Sen","University of Central Lancashire, Sharif University of Technology, Massachusetts Institute of Technology, Brigham and Women's Hospital, Harvard–MIT Division of Health Sciences and Technology, Harvard University, University of Mons, Pasteur Institute of Iran","BE, US, IR, GB",1741,Engineering Biology
2001,Polymeric system for dual growth factor delivery,"Thomas P. Richardson, Martin C. Peters, Alessandra B. Ennett, David Mooney",University of Michigan–Ann Arbor,US,1722,Engineering Biology
1964,A new weighting system for mean surface temperature of the human body,Narayanan Ramanathan,All India Institute of Hygiene and Public Health,IN,1717,Engineering Biology
2007,Use of a Continuous-Flow Device in Patients Awaiting Heart Transplantation,"Leslie W. Miller, Francis D. Pagani, Stuart D. Russell, Ranjit John, Andrew Boyle, Keith D. Aaronson, John V. Conte, Yoshifumi Naka, Donna Mancini, Reynolds M. Delgado, Thomas E. MacGillivray, David J. Farrar, O.H. Frazier","Johns Hopkins Hospital, University of Michigan–Ann Arbor, Massachusetts General Hospital, University of Minnesota System, Thoratec Corporation (United States), Columbia University",US,1714,Engineering Biology
1991,Influence of surface characteristics on bone integration of titanium implants. A histomorphometric study in miniature pigs,"Daniel Buser, Robert Schenk, S. Steinemann, Joseph P. Fiorellini, C.H. Fox, H. Stich","Harvard University, University of Lausanne, University of Bern","US, CH",1707,Engineering Biology
2004,Magnetic nanoparticle design for medical diagnosis and therapy,"Stéphane Mornet, S�bastien Vasseur, Fabien Grasset, Étienne Duguet","Centre National de la Recherche Scientifique, Institut de Chimie de la Matière Condensée de Bordeaux",FR,1706,Engineering Biology
2013,25th Anniversary Article: Engineering Hydrogels for Biofabrication,"Jos Malda, Jetze Visser, Ferry P.W. Melchels, Tomasz Jüngst, Wim E. Hennink, Wouter J.A. Dhert, Jürgen Gröll, Dietmar W. Hutmacher","Queensland University of Technology, Technical University of Munich, Utrecht University, University of Würzburg, University Medical Center Utrecht","DE, NL, AU",1697,Engineering Biology
2013,Bone tissue engineering using 3D printing,"Susmita Bose, Sahar Vahabzadeh, Amit Bandyopadhyay",Washington State University,US,1695,Engineering Biology
2005,Superparamagnetic nanoparticles for biomedical applications: Possibilities and limitations of a new drug delivery system,"Thomas Neuberger, Bernhard Schöpf, Heinrich Hofmann, Margarete Hofmann, Brigitte von Rechenberg","École Polytechnique Fédérale de Lausanne, University of Zurich",CH,1684,Engineering Biology
2006,Alginate Hydrogels as Biomaterials,"Alexander Augst, Hyun Joon Kong, David Mooney",Harvard University,US,1679,Engineering Biology
2008,The pupil as a measure of emotional arousal and autonomic activation,"Margaret M. Bradley, Laura Miccoli, Miguel A. Escrig, Peter J. Lang",University of Florida,US,1678,Engineering Biology
2017,Antibacterial anti-oxidant electroactive injectable hydrogel as self-healing wound dressing with hemostasis and adhesiveness for cutaneous wound healing,"Xin Zhao, Hao Wu, Baolin Guo, Ruonan Dong, Yusheng Qiu, X. Peter","University of Michigan–Ann Arbor, Xi'an Jiaotong University, First Affiliated Hospital of Xi'an Jiaotong University","US, CN",1674,Engineering Biology
2010,The history of biodegradable magnesium implants: A review☆,Frank Witte,Medizinische Hochschule Hannover,DE,1673,Engineering Biology
2003,Microfluidic devices fabricated in Poly(dimethylsiloxane) for biological studies,"Samuel K. Sia, George M. Whitesides",Harvard University,US,1672,Engineering Biology
2003,Biodegradable synthetic polymers for tissue engineering,PA Gunatillake,Commonwealth Scientific and Industrial Research Organisation,AU,1669,Engineering Biology
2014,Printing three-dimensional tissue analogues with decellularized extracellular matrix bioink,"Falguni Pati, Jinah Jang, Dong-Heon Ha, Sung Won Kim, Jong‐Won Rhie, Jin‐Hyung Shim, Deok‐Ho Kim, Dong‐Woo Cho","Catholic University of Korea, University of Washington, Korea Polytechnic University, Pohang University of Science and Technology","US, KR",1669,Engineering Biology
2004,Mesenchymal stem cells: clinical applications and biological characterization,"Frank Barry, Mary Murphy",Osiris Therapeutics (United States),US,1666,Engineering Biology
1998,Dynamics of blood flow and oxygenation changes during brain activation: The balloon model,"Richard B. Buxton, Eric C. Wong, Lawrence R. Frank","University of California, San Diego",US,1664,Engineering Biology
1998,Elastic Moduli of Breast and Prostate Tissues under Compression,"Thomas A. Krouskop, Thomas M. Wheeler, F. Kallel, Brian S. Garra, Timothy J. Hall","Baylor College of Medicine, University of Vermont Medical Center, The University of Texas Health Science Center at San Antonio, University of Kansas",US,1660,Engineering Biology
2003,Noninvasive laser-induced photoacoustic tomography for structural and functional in vivo imaging of the brain,"Xueding Wang, Yongjiang Pang, Geng Ku, Xueyi Xie, George Stoica, Lihong V. Wang","Texas A&M University, Mitchell Institute",US,1657,Engineering Biology
2006,Platelet-rich fibrin (PRF): A second-generation platelet concentrate. Part I: Technological concepts and evolution,"D. Dohan, Joseph Choukroun, Antoine Diss, S. Dohan, Anthony Dohan, Jaâfar Mouhyi, Bruno Gogly","Hôpital Albert-Chenevier, Sorbonne Université, Surgical Science (Sweden), Hôpital Saint Roch, Université Paris Cité, University of Southern California","US, SE, FR",1654,Engineering Biology
2003,Buonocore memorial lecture. Adhesion to enamel and dentin: current status and future challenges.,"Bart Van Meerbeek, Jan De Munck, Hiroshi Yoshida, Satoshi Inoue, Marcos A. Vargas, Padmini Vijay, Kirsten Van Landuyt, Paul Lambrechts, Guido Vanherle",KU Leuven,BE,1645,Engineering Biology
2011,Polymeric Scaffolds in Tissue Engineering Application: A Review,"Brahatheeswaran Dhandayuthapani, Yasuhiko Yoshida, Toru Maekawa, D. Sakthi Kumar",Toyo University,JP,1643,Engineering Biology
2006,Advanced Materials,,Unknown Institution,Unknown Country,1642,Engineering Biology
1998,Shear wave elasticity imaging: a new ultrasonic technology of medical diagnostics,"Armen Sarvazyan, О. В. Руденко, Scott D Swanson, J. Brian Fowlkes, Stanislav Emelianov","University of Michigan–Ann Arbor, Lomonosov Moscow State University, Artann Laboratories, Inc.","US, RU",1640,Engineering Biology
1982,A method for the study of undecalcified bones and teeth with attached soft tissues*,"K. Donath, G. Breuner",Universität Hamburg,DE,1625,Engineering Biology
1993,Basic biomechanical measurements of bone: A tutorial,"Charles H. Turner, David B. Burr","Indiana University – Purdue University Indianapolis, University Medical Center, University Hospital and Clinics",US,1625,Engineering Biology
1981,Publication Recommendations for Electrodermal Measurements,"Don C. Fowles, Margaret J. Christie, Robert Edelberg, William W. Grings, David T. Lykken, Peter H. Venables","Rutgers Sexual and Reproductive Health and Rights, University of Minnesota, University of Iowa, University of York, Southern California University for Professional Studies, University of Bradford, University of Southern California","GB, US, NL",1624,Engineering Biology
1998,Quantification of Myocardial Blood Flow With Ultrasound-Induced Destruction of Microbubbles Administered as a Constant Venous Infusion,"Kevin Wei, Ananda R. Jayaweera, Soroosh Firoozan, A. Linka, Danny M. Skyba, Sanjiv Kaul",University of Virginia,US,1624,Engineering Biology
2009,Photodegradable Hydrogels for Dynamic Tuning of Physical and Chemical Properties,"April M. Kloxin, Andrea M. Kasko, Chelsea N. Salinas, Kristi S. Anseth","University of Colorado Boulder, Howard Hughes Medical Institute",US,1621,Engineering Biology
2004,Bone Tissue Engineering: State of the Art and Future Trends,"António J. Salgado, O. P. Coutinho, Rui L. Reis",University of Minho,PT,1621,Engineering Biology
2000,Biomaterial developments for bone tissue engineering,"Karen J. L. Burg, Scott E. Porter, James F. Kellam","Carolinas Medical Center, Clemson University",US,1619,Engineering Biology
2004,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,"Winfried Denk, Heinz Horstmann","Max Planck Institute for Medical Research, Max Planck Society",DE,1617,Engineering Biology
1990,A Semiautomated Method for Measuring Brain Infarct Volume,"Raymond A. Swanson, Matthew T. Morton, George Tsao-Wu, Robert A. Savalos, Charisse L. Davidson, Frank R. Sharp",San Francisco VA Medical Center,US,1612,Engineering Biology
2011,Biopolymer-Based Hydrogels As Scaffolds for Tissue Engineering Applications: A Review,"Sandra Van Vlierberghe, Peter Dubruel, E. Schacht",Ghent University,BE,1607,Engineering Biology
1994,"Mesenchymal cell-based repair of large, full-thickness defects of articular cartilage.","Shigeyuki Wakitani, Tatsuhiko Goto, S J Pineda, Randell G. Young, Joseph M. Mansour, Arnold I. Caplan, V M Goldberg","University School, Case Western Reserve University, University Hospitals of Cleveland",US,1606,Engineering Biology
2009,Complexity in biomaterials for tissue engineering,"Elsie Place, Nicholas D. Evans, Molly M. Stevens",Imperial College London,GB,1601,Engineering Biology
2005,Mediation of Biomaterial–Cell Interactions by Adsorbed Proteins: A Review,"Cameron Wilson, Richard Clegg, David I. Leavesley, Mark J. Pearcy",Queensland University of Technology,AU,1590,Engineering Biology
2011,Bioactive glass in tissue engineering,"Mohamed N. Rahaman, Delbert E. Day, B. Sonny Bal, Qiang Fu, Steven B. Jung, Lynda F. Bonewald, Antoni P. Tomsia","Lawrence Berkeley National Laboratory, Mo Sci Corporation (United States), University of Missouri–Kansas City, University of Missouri, Missouri University of Science and Technology",US,1588,Engineering Biology
2002,Photopolymerizable hydrogels for tissue engineering applications,"Kytai T. Nguyen, Jennifer L. West",Rice University,US,1586,Engineering Biology
2016,A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy,"Hyunjae Lee, Tae‐Kyu Choi, Young Bum Lee, Hye Rim Cho, Roozbeh Ghaffari, Liu Wang, Hyung Jin Choi, Taek Dong Chung, Nanshu Lu, Taeghwan Hyeon, Seung Hong Choi, Dae‐Hyeong Kim","Institute for Basic Science, Seoul National University",KR,1586,Engineering Biology
2003,Biomimetic materials for tissue engineering,"Heungsoo Shin, Seongbong Jo, Antonios G. Mikos",Rice University,US,1584,Engineering Biology
2001,"Osteoinduction, osteoconduction and osseointegration","Tomas Albrektsson, Carina B. Johansson",Unknown Institution,Unknown Country,1582,Engineering Biology
2017,Bone grafts and biomaterials substitutes for bone defect repair: A review,"Wenhao Wang, Kwk Yeung","University of Hong Kong - Shenzhen Hospital, University of Hong Kong","HK, CN",1581,Engineering Biology
2014,Conductive polymers: Towards a smart biomaterial for tissue engineering,"Richard Balint, Nigel J. Cassidy, Sarah H. Cartmell","University of Manchester, Keele University",GB,1573,Engineering Biology
2005,Chitosan: A versatile biopolymer for orthopaedic tissue-engineering,"Alberto Di Martino, Michael Sittinger, Makarand V. Risbud","Charité - Universitätsmedizin Berlin, Thomas Jefferson University, Università Campus Bio-Medico","US, DE, IT",1559,Engineering Biology
2015,Recent advances in 3D printing of biomaterials,"Helena N. Chia, Benjamin M. Wu",Samueli Institute,US,1554,Engineering Biology
2005,"Optical properties of human skin, subcutaneous and mucous tissues in the wavelength range from 400 to 2000 nm","Alexey N. Bashkatov, Elina A. Genina, Vyacheslav I. Kochubey, Valery V. Tuchin",Saratov State University,RU,1551,Engineering Biology
1999,Porous chitosan scaffolds for tissue engineering,"Sundararajan V. Madihally, Howard W.T. Matthew",Wayne State University,US,1543,Engineering Biology
2004,Susceptibility weighted imaging (SWI),"E. Mark Haacke, Yingbiao Xu, Yu‐Chung N. Cheng, Jürgen R. Reichenbach","Loma Linda University, Case Western Reserve University, Wayne State University, Friedrich Schiller University Jena, Magnetic Resonance Imaging Institute for Biomedical Research","US, DE",1542,Engineering Biology
2015,Three-dimensional printing of complex biological structures by freeform reversible embedding of suspended hydrogels,"Thomas J. Hinton, Quentin Jallerat, Rachelle N. Palchesko, Joon Hyung Park, Martin S. Grodzicki, Hao-Jan Shue, Mohamed Ramadan, Andrew R. Hudson, Adam W. Feinberg",Carnegie Mellon University,US,1542,Engineering Biology
2008,Extracellular matrix as a biological scaffold material: Structure and function,"Stephen F. Badylak, Donald O. Freytes, Thomas W. Gilbert","McGowan Institute for Regenerative Medicine, University of Pittsburgh",US,1531,Engineering Biology
